image_url,bytes,pages,occurrences,classes,example_page
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a29651c57e2faa73a1b17c3_webflow%252Fthumb-images%252F2026%252F06%252Fcarl-knast-i-den-gra-hal-anmeldelse-thumb-2400w-1hkdme.webp,553384,10,10,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/carl-knast-i-den-gra-hal---anmeldelse
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a29669d105fbaf8cae3ed32_webflow%252Fthumb-images%252F2026%252F06%252Flatto-pa-tinderbox-na-men-sa-gik-vi-igen-thumb-2400w-18wiye.webp,614774,9,9,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/latto-pa-tinderbox-na-men-sa-gik-vi-igen
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/69f20ab5c017fab53d6cd463_68833e1ad124d1e14ae3f3d9_Screenshot%25202025-07-25%2520at%252010.19.32.png,2743233,2,2,thumb,https://www.aproposmagazine.com/articles/beabadoobee-pa-orange-scene-ro-og-naervaer-under-kirsebaertraeerne
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a29676b91a314dfec6da29b_webflow%252Fthumb-images%252F2026%252F06%252Fbicep-present-chroma-o-days-2025-en-audiovisuel-eksplosion-langs-havnen-thumb-2400w-a952xe.webp,547040,10,10,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/bicep-present-chroma-o-days-2025-en-audiovisuel-eksplosion-langs-havnen
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a2966b7fce6074f603acd8c_webflow%252Fthumb-images%252F2026%252F06%252Fthe-streets-tinderbox-thumb-2400w-bxesgs.webp,603992,9,9,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/the-streets-tinderbox
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a2966d993e5dd156d6224ad_webflow%252Fthumb-images%252F2026%252F06%252Fanmeldelse-af-bullet-for-my-valentine-copenhell-cringe-metal-med-stadionattitude-thumb-2400w-10sx18.webp,603128,9,9,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/anmeldelse-af-bullet-for-my-valentine-copenhell-cringe-metal-med-stadionattitude
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a296629f6bb2303891eccb3_webflow%252Fthumb-images%252F2026%252F06%252Fanastasia-fylder-scenen-stort-men-ikke-helt-os-thumb-2400w-1405ni.webp,539010,10,10,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/anastasia-fylder-scenen---stort-men-ikke-helt-os
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a29667068b3f1f348654a31_webflow%252Fthumb-images%252F2026%252F06%252Fkenny-pa-orange-scene-stort-show-masser-af-dansere-og-en-smule-forvirrende-koncept-thumb-2400w-19ep2d.webp,597662,9,9,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/kenny-pa-orange-scene---stort-show-masser-af-dansere-og-en-smule-forvirrende-koncept
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a296895aebee7f3610689b0_webflow%252Fthumb-images%252F2026%252F06%252Fsurface-apple-tv-nar-din-identitet-er-det-eneste-du-ikke-ejer-thumb-2400w-s4ptw6.webp,537834,10,10,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/surface-apple-tv---nar-din-identitet-er-det-eneste-du-ikke-ejer
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a29683a57e2faa73a1c8353_webflow%252Fthumb-images%252F2026%252F06%252Flordag-pa-roskilde-tiktok-dronninger-og-deprimeret-onkelrock-thumb-2400w-sn7qe2.webp,591320,9,9,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/lordag-pa-roskilde-tiktok-dronninger-og-deprimeret-onkelrock
